TMU ID, Legacy TMU ID, Site Name,,,,,,,,,
233C060F5CC92DDDE053802011AC0D83,30016383,TMU Site 9956/1 on link A1081 westbound between A505/B653 and M1 J10; GPS Ref: 509008;218723; Westbound,,,,,,,,,
,,,,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2016-06-01,0:14:00,7,151,145,2,0,4,80.71,15,200110536,4
2016-06-01,0:29:00,7,131,116,6,4,5,81.01,15,200110536,4
2016-06-01,0:44:00,7,147,140,1,1,5,81.6,15,200110536,4
2016-06-01,0:59:00,7,101,94,3,2,2,81.07,15,200110536,4
2016-06-02,1:14:00,9,194,184,3,5,2,79.08,15,200110536,4
2016-06-02,1:29:00,9,129,114,7,4,4,80.51,15,200110536,4
2016-06-02,1:44:00,9,83,74,2,3,4,80.4,15,200110536,4
2016-06-02,1:59:00,9,74,60,4,5,5,83.23,15,200110536,4
2016-06-02,2:14:00,9,58,39,7,5,7,82.68,15,200110536,4
2016-06-02,2:29:00,9,36,28,3,2,3,79.13,15,200110536,4
2016-06-02,2:44:00,9,68,61,4,1,2,83.22,15,200110536,4
2016-06-02,2:59:00,9,72,59,6,4,3,83.48,15,200110536,4
2016-06-02,3:14:00,9,70,51,6,3,10,82.95,15,200110536,4
2016-06-02,3:29:00,9,68,62,3,1,2,80.85,15,200110536,4
2016-06-02,3:44:00,9,61,52,4,2,3,79.16,15,200110536,4
2016-06-02,3:59:00,9,75,64,4,4,3,80.47,15,200110536,4
2016-06-02,4:14:00,9,90,73,9,3,5,82.18,15,200110536,4
2016-06-02,4:29:00,9,95,79,7,2,7,81.16,15,200110536,4
2016-06-02,4:44:00,9,128,109,13,2,4,79.87,15,200110536,4
2016-06-02,4:59:00,9,161,137,11,7,6,80.75,15,200110536,4
2016-06-02,5:14:00,9,227,200,13,7,7,78.43,15,200110536,4
2016-06-02,5:29:00,9,290,261,16,7,6,78.35,15,200110536,4
2016-06-02,5:44:00,9,439,372,43,16,8,75.55,15,200110536,4
2016-06-02,5:59:00,9,478,400,64,14,0,77,15,200110536,4
2016-06-02,6:14:00,9,547,481,48,12,6,76.13,15,200110536,4
2016-06-02,6:29:00,9,534,460,54,16,4,76.46,15,200110536,4
2016-06-02,6:44:00,9,583,497,59,17,10,76.02,15,200110536,4
2016-06-02,6:59:00,9,512,447,47,13,5,76,15,200110536,4
2016-06-02,7:14:00,9,586,525,33,23,5,73.47,15,200110536,4
2016-06-02,7:29:00,9,611,552,37,16,6,74.59,15,200110536,4
2016-06-02,7:44:00,9,573,518,34,13,8,76.03,15,200110536,4
2016-06-02,7:59:00,9,545,494,25,18,8,78.92,15,200110536,4
2016-06-02,8:14:00,9,525,478,19,16,12,77.14,15,200110536,4
2016-06-02,8:29:00,9,549,496,22,20,11,77.11,15,200110536,4
2016-06-02,8:44:00,9,527,475,24,11,17,77.82,15,200110536,4
2016-06-02,8:59:00,9,452,406,21,20,5,78.34,15,200110536,4
2016-06-02,9:14:00,9,490,413,28,31,18,76.82,15,200110536,4
2016-06-02,9:29:00,9,521,452,24,27,18,76.52,15,200110536,4
2016-06-02,9:44:00,9,431,367,28,24,12,77.29,15,200110536,4
2016-06-02,9:59:00,9,419,356,29,23,11,76.54,15,200110536,4
